DPR412_classification,construction_year,degree_days,floors,net_area,heat_loss_surface,heated_usable_area,cooled_usable_area,heated_gross_volume,cooled_gross_volume,total_opaque_surface,total_glazed_surface,average_opaque_surface_transmittance,average_glazed_surface_transmittance,yie,Cm,surface_to_volume_ratio,Asol,system_type,nominal_power,installation_year,QHnd,total_effective_ventilation_flow,ventilation_type,air_changes,Interfloor,system_performance,corridor,aereo,air_changes_max
4,1942,3259,1.0,135.02,304.72,135.02,0.0,570.85,0.0,231.75,16.62,0.7371,1.9658,0.1906,38423.91,0.5338,4.94,1,27.9,2005.0,14463.91,349.06,0,0.52,4.227892164123833,0.635,1065.8370098257049,4.500666666666667,14.049554173600772
4,1970,3299,1.0,353.01,1333.45,618.43,0.0,2448.01,0.0,1228.29,94.77,0.8444,1.9097,0.1121,146274.97,0.5447,0.01,19,700.0,1994.0,138777.73,0.3625,0,0.462629106566877,3.958426984460651,0.798,4613.423265449506,20.61433333333333,15.005960759964214
4,1839,3085,2.0,1360.2,3477.81,1360.2,0.0,8057.06,0.0,3277.07,200.74,1.2046,4.0778,0.1058,742886.1,0.4316,88.38,0,362.18,1999.0,215295.77,0.0,0,1.0,5.9234377297456255,0.679,13702.344886832649,45.34,10.027960571225732
7,1950,2951,0.0,225.47,784.67,225.47,0.0,1049.39,0.0,571.79,23.77,1.2367,2.914,0.17,80675.81,0.7477,0.04,1,33.7,2015.0,50856.2,330.9,0,0.5,4.654233379163526,0.801,1900.7937854088088,7.515666666666666,12.762574448012654
4,1750,2991,,248.21,1663.93,738.95,738.95,3663.47,3663.47,1546.99,116.94,1.4104,2.0049,0.1983,372608.4,0.4542,69.33,19,103.52,2015.0,151094.64,0.0,0,0.5475,4.957669666418567,0.577,6497.693861712434,24.631666666666668,11.981435633429513
8,1940,2971,0.0,157.91,506.39,157.91,0.0,783.74,0.0,354.72,21.42,1.3395,3.139,0.23,87920.13,0.65,0.0,0,25.6,2003.0,101861.8,260.14,0,0.5,4.963206890000634,0.899,1401.402566406436,5.2636666666666665,11.968068492101974
13,1970,3012,1.0,1063.74,5221.24,4048.13,0.0,17251.66,0.0,4359.26,1014.77,0.8783,1.1529,0.2688,1324894.0,0.3027,85.82,19,400.0,2021.0,335728.0,0.0,0,0.3883,4.261636854547655,1.106,31770.256150873724,134.93766666666667,13.93830634269398
13,2017,2874,0.0,110.25,257.28,110.25,0.0,430.58,0.0,238.46,18.82,0.3057,2.3148,0.0818,64635.45,0.5975,1.73,1,29.63,2017.0,6206.34,0.0,0,0.3712,3.905487528344671,0.765,824.2708036703052,3.675,15.209368758418876
13,2009,2904,0.0,1075.44,2928.68,1075.44,0.0,4327.38,0.0,2732.87,195.81,1.2278,3.0543,0.1782,285153.18,0.6768,0.02,0,130.0,2022.0,291789.79,4529.7413,0,1.31610361529089,4.0238228074090605,0.764,8107.863096329205,35.848,14.762081444199492
4,1980,2885,0.0,1035.05,2050.02,1035.05,0.0,4561.2,0.0,1771.11,278.92,1.035,1.744,0.2123,339559.03,0.4494,0.03,1,160.0,1997.0,191525.21,1522.8848,0,0.4462655547078,4.406743635573161,0.758,8333.416742534626,34.501666666666665,13.479340962904498
5,2004,2975,0.0,3052.515,6497.05,3052.52,0.0,12588.43,0.0,6239.64,251.57,1.3427,2.2076,0.4806,1075651.54,0.5161,139.33,1,424.35,2012.0,850801.88,16594.718,0,2.308,4.123946771847523,0.9,23398.907034113996,101.75066666666666,14.403677662742693
8,1900,2879,1.0,127.33,340.4,127.33,127.33,578.5,578.5,321.26,16.14,1.4281,3.8156,0.1001,78753.74,0.5884,0.05,5,33.5,2011.0,43393.91,976.5183,0,2.35969333966713,4.543312652163669,0.861,1060.3514108247082,4.2443333333333335,13.074160760587729
13,1970,2939,,1070.46,2852.15,1070.46,0.0,4767.97,0.0,2633.21,225.98,0.9602,2.873,0.493,575269.4,0.5982,101.94,1,647.51,2018.0,200556.34,0.0,0,0.6688,4.454131868542496,0.702,8685.83665917152,35.682,13.335932063330937
4,1982,3206,0.0,222.93,1055.0,482.82,0.0,2180.62,0.0,944.94,110.06,0.4296,0.8599,0.0256,156740.54,0.4838,0.04,1,50.0,2020.0,28502.27,764.9703,0,0.50115584472533,4.516424340333872,0.875,3965.281211005498,16.094,13.151997138428522
5,1990,3065,,244.4,820.1,244.4,244.4,1054.81,1054.81,780.04,40.06,0.9968,4.5628,0.3822,135315.1,0.7775,14.11,1,52.67,2018.0,48633.48,0.0,0,0.54,4.3159165302782325,0.725,1947.947129435796,8.146666666666667,13.763009451939212
4,1920,3135,1.0,49.22,173.89,49.22,0.0,230.63,0.0,165.36,8.53,0.8918,1.8841,0.0864,40450.31,0.754,2.84,1,23.7,2018.0,11201.65,0.0,0,0.6066,4.685696871190573,0.763,428.0163154197733,1.6406666666666667,12.676876382083858
13,2009,2904,0.0,1075.44,2928.68,1075.44,0.0,4327.38,0.0,2732.87,195.81,1.2278,3.0543,0.1782,285153.18,0.6768,0.02,0,130.0,2022.0,283154.36,4145.4443,0,1.31621048760208,4.0238228074090605,0.764,8107.863096329205,35.848,14.762081444199492
6,1940,2971,0.0,125.44,545.01,125.44,0.0,651.64,0.0,420.61,28.02,1.5032,5.5834,0.25,72096.53,0.84,0.0,0,25.6,2003.0,48422.91,242.72,0,0.5,5.1948341836734695,0.786,1155.7383010006329,4.181333333333333,11.434436191762323
13,1929,2914,0.0,1476.44,3536.29,1476.44,0.0,8958.71,0.0,3159.41,465.56,0.7207,3.5332,0.2047,960742.2,0.3947,58.31,31,108.0,2017.0,141463.46,0.0,0,0.5001,6.067777898187531,0.77,15156.380698035646,49.214666666666666,9.789415663639073
13,1990,2862,,815.1099,5875.45,1932.27,1932.27,16265.67,16265.67,5481.18,655.98,0.5483,2.168,0.2447,1092916.0,0.3612,76.11,1,387.2,2007.0,331498.51,6366.984,1,0.5372,8.417907435296309,0.793,25891.909303701235,64.409,7.056385503947885
13,1970,3168,1.0,572.6,1194.62,572.6,0.0,2562.35,0.0,1097.6,97.02,0.9434,4.469,0.4409,610062.17,0.4662,0.07,1,342.0,2016.0,263945.93,1673.6581,0,0.890963233575925,4.474938875305623,0.712,4668.3054367809555,19.086666666666662,13.273924327277696
13,1963,3194,1.0,602.02,1844.12,602.02,0.0,3375.1,0.0,1691.67,152.44,0.8207,1.033,0.1605,211584.23,0.5464,0.02,1,285.0,2018.0,133696.99,0.0001,0,0.471583791812974,5.606292149762466,0.761,5818.995465596573,20.067333333333337,10.595238067020237
4,1985,3128,0.0,1047.36,2233.33,1047.36,0.0,4302.67,0.0,1947.46,350.71,0.8884,6.2304,0.252,371004.9,0.5191,52.53,1,112.62,2023.0,251043.77,0.0,0,0.64,4.108109914451574,0.813,8014.438128192966,34.912,14.459204168574397
4,2017,3182,0.0,165.1,604.88,165.1,0.0,739.47,0.0,443.8,21.14,0.2145,1.5578,0.02,67416.3,0.82,0.0,1,24.1,2017.0,11616.69,222.88,0,0.5,4.478921865536039,0.863,1356.473509782655,5.503333333333333,13.26212016714674
